t,z,V,Mach,gamma,q_total,T_surface,thickness
6.42,117967,7822.75,26.5117,0.0763824,929330,318.181,0.148643
6.44,117955,7822.88,26.5121,0.076606,930147,318.244,0.148638
6.46,117943,7823.02,26.5126,0.0768295,930968,318.306,0.148633
6.48,117931,7823.15,26.513,0.077053,931792,318.369,0.148629
6.5,117919,7823.29,26.5135,0.0772765,932619,318.432,0.148624
6.52,117907,7823.42,26.514,0.0775,933449,318.494,0.148619
6.54,117895,7823.56,26.5144,0.0777235,934283,318.557,0.148615
6.56,117883,7823.69,26.5149,0.077947,935119,318.62,0.14861
6.58,117870,7823.83,26.5153,0.0781704,935958,318.683,0.148605
6.6,117858,7823.97,26.5158,0.0783939,936801,318.746,0.148601
6.62,117846,7824.11,26.5163,0.0786174,937646,318.809,0.148596
6.64,117834,7824.24,26.5167,0.0788409,938495,318.872,0.148591
6.66,117821,7824.38,26.5172,0.0790643,939347,318.935,0.148587
6.68,117809,7824.52,26.5177,0.0792878,940202,318.999,0.148582
6.7,117796,7824.66,26.5182,0.0795113,941060,319.062,0.148577
6.72,117784,7824.8,26.5186,0.0797347,941921,319.125,0.148572
6.74,117771,7824.94,26.5191,0.0799582,942786,319.189,0.148568
6.76,117759,7825.08,26.5196,0.0801816,943653,319.252,0.148563
6.78,117746,7825.22,26.52,0.080405,944524,319.316,0.148558
6.8,117734,7825.36,26.5205,0.0806285,945398,319.379,0.148554
6.82,117721,7825.5,26.521,0.0808519,946275,319.443,0.148549
6.84,117708,7825.64,26.5215,0.0810753,947155,319.507,0.148544
6.86,117696,7825.78,26.522,0.0812988,948039,319.57,0.148539
6.88,117683,7825.93,26.5224,0.0815222,948925,319.634,0.148535
6.9,117670,7826.07,26.5229,0.0817456,949815,319.698,0.14853
6.92,117657,7826.21,26.5234,0.081969,950708,319.762,0.148525
6.94,117645,7826.36,26.5239,0.0821924,951605,319.826,0.14852
6.96,117632,7826.5,26.5244,0.0824158,952504,319.89,0.148516
6.98,117619,7826.64,26.5249,0.0826392,953407,319.954,0.148511
7,117606,7826.79,26.5254,0.0828626,954313,320.019,0.148506
7.02,117593,7826.93,26.5259,0.083086,955223,320.083,0.148501
7.04,117580,7827.08,26.5264,0.0833094,956135,320.147,0.148497
7.06,117567,7827.23,26.5269,0.0835328,957051,320.212,0.148492
7.08,117554,7827.37,26.5274,0.0837561,957970,320.276,0.148487
7.1,117541,7827.52,26.5278,0.0839795,958893,320.341,0.148482
7.12,117527,7827.67,26.5283,0.0842029,959819,320.405,0.148477
7.14,117514,7827.81,26.5288,0.0844262,960748,320.47,0.148473
7.16,117501,7827.96,26.5293,0.0846496,961680,320.535,0.148468
7.18,117488,7828.11,26.5299,0.0848729,962616,320.6,0.148463
7.2,117474,7828.26,26.5304,0.0850963,963555,320.664,0.148458
7.22,117461,7828.41,26.5309,0.0853196,964497,320.729,0.148453
7.24,117448,7828.56,26.5314,0.085543,965443,320.794,0.148448
7.26,117434,7828.71,26.5319,0.0857663,966392,320.859,0.148444
7.28,117421,7828.86,26.5324,0.0859896,967345,320.925,0.148439
7.3,117407,7829.01,26.5329,0.086213,968300,320.99,0.148434
7.32,117394,7829.16,26.5334,0.0864363,969260,321.055,0.148429
7.34,117380,7829.31,26.5339,0.0866596,970222,321.12,0.148424
7.36,117367,7829.46,26.5344,0.0868829,971188,321.186,0.148419
7.38,117353,7829.62,26.5349,0.0871062,972157,321.251,0.148415
7.4,117339,7829.77,26.5355,0.0873295,973130,321.317,0.14841
7.42,117326,7829.92,26.536,0.0875528,974106,321.382,0.148405
7.44,117312,7830.07,26.5365,0.0877761,975086,321.448,0.1484
7.46,117298,7830.23,26.537,0.0879994,976069,321.514,0.148395
7.48,117284,7830.38,26.5375,0.0882227,977056,321.58,0.14839
7.5,117271,7830.54,26.5381,0.0884459,978046,321.645,0.148385
7.52,117257,7830.69,26.5386,0.0886692,979039,321.711,0.14838
7.54,117243,7830.85,26.5391,0.0888925,980036,321.777,0.148376
7.56,117229,7831,26.5397,0.0891157,981036,321.843,0.148371
7.58,117215,7831.16,26.5402,0.089339,982040,321.91,0.148366
7.6,117201,7831.32,26.5407,0.0895622,983048,321.976,0.148361
7.62,117187,7831.47,26.5412,0.0897855,984059,322.042,0.148356
7.64,117173,7831.63,26.5418,0.0900087,985073,322.108,0.148351
7.66,117159,7831.79,26.5423,0.090232,986091,322.175,0.148346
7.68,117145,7831.95,26.5428,0.0904552,987112,322.241,0.148341
7.7,117130,7832.1,26.5434,0.0906784,988137,322.308,0.148336
7.72,117116,7832.26,26.5439,0.0909017,989166,322.375,0.148331
7.74,117102,7832.42,26.5445,0.0911249,990198,322.441,0.148326
7.76,117088,7832.58,26.545,0.0913481,991234,322.508,0.148321
7.78,117073,7832.74,26.5455,0.0915713,992273,322.575,0.148316
7.8,117059,7832.9,26.5461,0.0917945,993316,322.642,0.148311
7.82,117044,7833.06,26.5466,0.0920177,994362,322.709,0.148306
7.84,117030,7833.23,26.5472,0.0922409,995412,322.776,0.148301
7.86,117016,7833.39,26.5477,0.0924641,996466,322.843,0.148296
7.88,117001,7833.55,26.5483,0.0926873,997523,322.91,0.148292
7.9,116987,7833.71,26.5488,0.0929104,998584,322.978,0.148287
7.92,116972,7833.87,26.5494,0.0931336,999649,323.045,0.148282
7.94,116957,7834.04,26.5499,0.0933568,1.00072e+06,323.112,0.148277
7.96,116943,7834.2,26.5505,0.09358,1.00179e+06,323.18,0.148272
