t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
1.48,119916,7800.25,26.4354,0.00820269,816045,307.586,300,0.0796971,0
1.49,119915,7800.25,26.4354,0.0082148,816082,307.637,300,0.0796951,0
1.5,119914,7800.25,26.4354,0.00822692,816118,307.689,300,0.079693,0
1.51,119914,7800.25,26.4354,0.00823903,816155,307.74,300,0.079691,0
1.52,119913,7800.25,26.4354,0.00825114,816191,307.791,300,0.079689,0
1.53,119912,7800.25,26.4354,0.00826325,816228,307.842,300,0.0796869,0
1.54,119912,7800.25,26.4354,0.00827536,816265,307.893,300,0.0796849,0
1.55,119911,7800.25,26.4354,0.00828747,816301,307.945,300,0.0796828,0
1.56,119911,7800.26,26.4354,0.00829959,816338,307.996,300,0.0796808,0
1.57,119910,7800.26,26.4355,0.0083117,816375,308.047,300,0.0796788,0
1.58,119909,7800.26,26.4355,0.00832381,816412,308.098,300,0.0796767,0
1.59,119909,7800.26,26.4355,0.00833592,816449,308.149,300,0.0796747,0
1.6,119908,7800.26,26.4355,0.00834803,816486,308.201,300,0.0796726,0
1.61,119907,7800.26,26.4355,0.00836014,816523,308.252,300,0.0796706,0
1.62,119907,7800.26,26.4355,0.00837226,816560,308.303,300,0.0796686,0
1.63,119906,7800.26,26.4355,0.00838437,816597,308.354,300,0.0796665,0
1.64,119905,7800.26,26.4355,0.00839648,816635,308.405,300,0.0796645,0
1.65,119905,7800.26,26.4355,0.00840859,816672,308.457,300,0.0796624,0
1.66,119904,7800.26,26.4355,0.0084207,816709,308.508,300,0.0796604,0
1.67,119903,7800.26,26.4355,0.00843281,816747,308.559,300,0.0796584,0
1.68,119903,7800.26,26.4355,0.00844493,816784,308.61,300,0.0796563,0
1.69,119902,7800.26,26.4355,0.00845704,816822,308.662,300,0.0796543,0
1.7,119901,7800.27,26.4355,0.00846915,816859,308.713,300,0.0796522,0
1.71,119901,7800.27,26.4355,0.00848126,816897,308.764,300,0.0796502,0
1.72,119900,7800.27,26.4355,0.00849337,816935,308.815,300,0.0796482,0
1.73,119899,7800.27,26.4355,0.00850548,816972,308.867,300,0.0796461,0
1.74,119899,7800.27,26.4355,0.0085176,817010,308.918,300,0.0796441,0
1.75,119898,7800.27,26.4355,0.00852971,817048,308.969,300,0.079642,0
1.76,119897,7800.27,26.4355,0.00854182,817086,309.02,300,0.07964,0
1.77,119897,7800.27,26.4355,0.00855393,817124,309.072,300,0.079638,0
1.78,119896,7800.27,26.4355,0.00856604,817162,309.123,300,0.0796359,0
1.79,119895,7800.27,26.4355,0.00857815,817200,309.174,300,0.0796339,0
1.8,119895,7800.27,26.4355,0.00859027,817238,309.226,300,0.0796318,0
1.81,119894,7800.27,26.4355,0.00860238,817276,309.277,300,0.0796298,0
1.82,119893,7800.27,26.4355,0.00861449,817314,309.328,300,0.0796277,0
1.83,119893,7800.28,26.4355,0.0086266,817353,309.379,300,0.0796257,0
1.84,119892,7800.28,26.4355,0.00863871,817391,309.431,300,0.0796237,0
1.85,119891,7800.28,26.4355,0.00865082,817429,309.482,300,0.0796216,0
1.86,119891,7800.28,26.4355,0.00866294,817468,309.533,300,0.0796196,0
1.87,119890,7800.28,26.4355,0.00867505,817506,309.585,300,0.0796175,0
1.88,119889,7800.28,26.4355,0.00868716,817545,309.636,300,0.0796155,0
1.89,119889,7800.28,26.4355,0.00869927,817584,309.687,300,0.0796134,0
1.9,119888,7800.28,26.4355,0.00871138,817622,309.739,300,0.0796114,0
1.91,119887,7800.28,26.4355,0.00872349,817661,309.79,300,0.0796094,0
1.92,119887,7800.28,26.4355,0.00873561,817700,309.841,300,0.0796073,0
1.93,119886,7800.28,26.4355,0.00874772,817738,309.893,300,0.0796053,0
1.94,119885,7800.28,26.4355,0.00875983,817777,309.944,300,0.0796032,0
1.95,119885,7800.28,26.4355,0.00877194,817816,309.995,300,0.0796012,0
1.96,119884,7800.28,26.4355,0.00878405,817855,310.047,300,0.0795991,0
1.97,119883,7800.29,26.4355,0.00879616,817894,310.098,300,0.0795971,0
1.98,119882,7800.29,26.4356,0.00880828,817933,310.149,300,0.0795951,0
1.99,119882,7800.29,26.4356,0.00882039,817972,310.201,300,0.079593,0
2,119881,7800.29,26.4356,0.0088325,818012,310.252,300,0.079591,0
2.01,119880,7800.29,26.4356,0.00884461,818051,310.303,300,0.0795889,0
2.02,119880,7800.29,26.4356,0.00885672,818090,310.355,300,0.0795869,0
2.03,119879,7800.29,26.4356,0.00886883,818130,310.406,300,0.0795848,0
2.04,119878,7800.29,26.4356,0.00888095,818169,310.457,300,0.0795828,0
2.05,119878,7800.29,26.4356,0.00889306,818208,310.509,300,0.0795807,0
2.06,119877,7800.29,26.4356,0.00890517,818248,310.56,300,0.0795787,0
2.07,119876,7800.29,26.4356,0.00891728,818287,310.612,300,0.0795767,0
2.08,119876,7800.29,26.4356,0.00892939,818327,310.663,300,0.0795746,0
2.09,119875,7800.29,26.4356,0.0089415,818367,310.714,300,0.0795726,0
2.1,119874,7800.3,26.4356,0.00895362,818406,310.766,300,0.0795705,0
2.11,119873,7800.3,26.4356,0.00896573,818446,310.817,300,0.0795685,0
2.12,119873,7800.3,26.4356,0.00897784,818486,310.868,300,0.0795664,0
2.13,119872,7800.3,26.4356,0.00898995,818526,310.92,300,0.0795644,0
2.14,119871,7800.3,26.4356,0.00900206,818566,310.971,300,0.0795623,0
2.15,119871,7800.3,26.4356,0.00901417,818606,311.023,300,0.0795603,0
2.16,119870,7800.3,26.4356,0.00902629,818646,311.074,300,0.0795583,0
2.17,119869,7800.3,26.4356,0.0090384,818686,311.126,300,0.0795562,0
2.18,119869,7800.3,26.4356,0.00905051,818726,311.177,300,0.0795542,0
2.19,119868,7800.3,26.4356,0.00906262,818766,311.228,300,0.0795521,0
2.2,119867,7800.3,26.4356,0.00907473,818807,311.28,300,0.0795501,0
2.21,119866,7800.3,26.4356,0.00908684,818847,311.331,300,0.079548,0
2.22,119866,7800.3,26.4356,0.00909896,818887,311.383,300,0.079546,0
